State,Date,Population
Haryana,2022-09-01,2475631.386634279
Haryana,2022-10-01,2476864.270790969
Haryana,2022-11-01,2478097.1549476595
Haryana,2022-12-01,2479330.03910435
Haryana,2023-01-01,2485699.102373897
Haryana,2023-02-01,2486941.951925084
Haryana,2023-03-01,2488184.801476271
Haryana,2023-04-01,2489427.651027458
Haryana,2023-05-01,2490670.500578645
Haryana,2023-06-01,2491913.350129832
Haryana,2023-07-01,2493156.1996810185
Haryana,2023-08-01,2494399.049232206
Haryana,2023-09-01,2495641.8987833927
Haryana,2023-10-01,2496884.7483345796
Haryana,2023-11-01,2498127.597885766
Haryana,2023-12-01,2499370.447436954
Haryana,2024-01-01,2508478.1411777553
Haryana,2024-02-01,2509732.380248344
Haryana,2024-03-01,2510986.6193189323
Haryana,2024-04-01,2512240.858389522
Haryana,2024-05-01,2513495.0974601107
Haryana,2024-06-01,2514749.3365306994
Haryana,2024-07-01,2516003.575601288
Haryana,2024-08-01,2517257.8146718773
Haryana,2024-09-01,2518512.0537424665
Haryana,2024-10-01,2519766.2928130548
Haryana,2024-11-01,2521020.5318836435
Haryana,2024-12-01,2522274.770954233
Himachal Pradesh,2021-01-01,663197.6747135917
Himachal Pradesh,2021-02-01,663529.2735509485
Himachal Pradesh,2021-03-01,663860.8723883053
Himachal Pradesh,2021-04-01,664192.471225662
Himachal Pradesh,2021-05-01,664524.0700630188
Himachal Pradesh,2021-06-01,664855.6689003756
Himachal Pradesh,2021-07-01,665187.2677377324
Himachal Pradesh,2021-08-01,665518.8665750893
Himachal Pradesh,2021-09-01,665850.4654124461
Himachal Pradesh,2021-10-01,666182.0642498028
Himachal Pradesh,2021-11-01,666513.6630871596
Himachal Pradesh,2021-12-01,666845.2619245164
Himachal Pradesh,2022-01-01,667725.118194899
Himachal Pradesh,2022-02-01,668058.9807539964
Himachal Pradesh,2022-03-01,668392.8433130939
Himachal Pradesh,2022-04-01,668726.7058721915
Himachal Pradesh,2022-05-01,669060.5684312888
Himachal Pradesh,2022-06-01,669394.4309903863
Himachal Pradesh,2022-07-01,669728.2935494836
Himachal Pradesh,2022-08-01,670062.1561085812
Himachal Pradesh,2022-09-01,670396.0186676787
Himachal Pradesh,2022-10-01,670729.881226776
Himachal Pradesh,2022-11-01,671063.7437858734
Himachal Pradesh,2022-12-01,671397.6063449711
Himachal Pradesh,2023-01-01,673122.3359156168
Himachal Pradesh,2023-02-01,673458.8970835747
Himachal Pradesh,2023-03-01,673795.4582515324
Himachal Pradesh,2023-04-01,674132.0194194904
Himachal Pradesh,2023-05-01,674468.5805874481
Himachal Pradesh,2023-06-01,674805.1417554059
Himachal Pradesh,2023-07-01,675141.7029233637
Himachal Pradesh,2023-08-01,675478.2640913215
Himachal Pradesh,2023-09-01,675814.8252592793
Himachal Pradesh,2023-10-01,676151.3864272371
Himachal Pradesh,2023-11-01,676487.9475951949
Himachal Pradesh,2023-12-01,676824.5087631529
